#Scheduling List for Fall 2024
CourseCode+Sec#, Course Code, Course Title, Units, Instructor, Days, Time
CHEM1100 - 006, CHEM1100, General Chemistry I (DIS), 0, "Brackett, Claudia", R, 12:00P - 12:50P
CHEM1100 - 007, CHEM1100, General Chemistry I (DIS), 0, "Brackett, Claudia", R, 1:00P - 1:50P
CHEM1100 - 008, CHEM1100, General Chemistry I (DIS), 0, "Brackett, Claudia", R, 2:00P - 2:50P
CHEM1102 - 002, CHEM1102, General Chemistry I (LAB), 1, "Brackett, Claudia", T, 8:00A - 10:50A
CHEM1102 - 003, CHEM1102, General Chemistry I (LAB), 1, "Russell, Scott", T, 2:00P - 4:50P
CHEM1102 - 004, CHEM1102, General Chemistry I (LAB), 1, "Brackett, Claudia", T, 11:00A - 1:50P
CHEM1102 - 005, CHEM1102, General Chemistry I (LAB), 1, "Brackett, Claudia", R, 8:00A - 10:50A
CHEM1102 - 006, CHEM1102, General Chemistry I (LAB), 1, "Dunlap, Karen", W, 2:00P - 4:50P
CHEM1102 - 007, CHEM1102, General Chemistry I (LAB), 1, "Russell, Scott", R, 2:00P - 4:50P
CHEM1110 - 001, CHEM1110, General Chemistry II, 4, "Phillips, Shane", MWF, 1:00P - 1:50P
CHEM1110 - 002, CHEM1110, General Chemistry II (DIS), 0, "Russell, Scott", W, 11:00A - 11:50A
CHEM1110 - 003, CHEM1110, General Chemistry II (DIS), 0, "Russell, Scott", T, 11:00A - 11:50A
CHEM1110 - 004, CHEM1110, General Chemistry II (DIS), 0, "Russell, Scott", R, 11:00A - 11:50A
CHEM1110 - 005, CHEM1110, General Chemistry II (DIS), 0, "Russell, Scott", M, 11:00A - 11:50A
CHEM1112 - 001, CHEM1112, General Chemistry II (LAB), 1, "Schara, Gonul", M, 2:00P - 4:50P
CHEM1112 - 002, CHEM1112, General Chemistry II (LAB), 1, "Dunlap, Karen", T, 2:00P - 4:50P
CHEM1112 - 003, CHEM1112, General Chemistry II (LAB), 1, "Schara, Gonul", R, 8:00A - 10:50A
CHEM1112 - 004, CHEM1112, General Chemistry II (LAB), 1, "Dunlap, Karen", R, 2:00P - 4:50P

BIOL1050 - 001, BIOL1050, General Biology I, 4, "Gerson, Marina", MWF, 9:00A - 9:50A
BIOL1050 - 002, BIOL1050, General Biology I (LAB), 0, "Guernsey, Michael", W, 1:00P - 3:50P
BIOL1050 - 003, BIOL1050, General Biology I (LAB), 0, "Part-Time Faculty", F, 11:00A - 1:50P
BIOL1050 - 004, BIOL1050, General Biology I (LAB), 0, "Part-Time Faculty", T, 9:00A - 11:50A
BIOL1050 - 005, BIOL1050, General Biology I, 4, "Bissonnette, Sarah", TR, 9:30A - 10:45A
BIOL1050 - 006, BIOL1050, General Biology I (LAB), 0, "Part-Time Faculty", T, 12:00P - 2:50P
BIOL1050 - 007, BIOL1050, General Biology I (LAB), 0, "Bissonnette, Sarah", R, 12:00P - 2:50P
BIOL1050 - 008, BIOL1050, General Biology I (LAB), 0, "Channing, Sally", T, 6:00P - 8:50P
BIOL1050 - 009, BIOL1050, General Biology I (LAB), 0, "Dulai, Kanwaljit", R, 8:00A - 10:50A
BIOL1050 - 010, BIOL1050, General Biology I (LAB), 0, "Newton, Jamila", F, 8:00A - 10:50A
BIOL1150 - 001, BIOL1150, General Biology II, 4, "Bhaduri, Ritindra", TR, 12:30P - 1:45P
BIOL1150 - 002, BIOL1150, General Biology II (LAB), 0, "Pirlo, Jeanette", T, 9:30A - 12:20P
BIOL1150 - 003, BIOL1150, General Biology II (LAB), 0, "Bhaduri, Ritindra", T, 5:00P - 7:50P
BIOL1150 - 004, BIOL1150, General Biology II (LAB), 0, "Emerson, Sara", W, 2:00P - 4:50P
BIOL2310 - 001, BIOL2310, Human Genetics, 3, "Dulai, Kanwaljit", TR, 2:00P - 3:15P

CIS4770 - 001, CIS4770, Systems Analysis and Design, 3, "Panagopoulos, Orestis Panos", W, 1:00P - 2:50P
CIS4770 - 002, CIS4770, Systems Analysis and Design (LAB), 0, "Panagopoulos, Orestis Panos", W, 3:00P - 4:50P










